20 20
6 3 1; 939.5119 -39.5 1475.939; 1048.032 -39.5 1399.952; 1144.162 -39.5 1537.239; 1035.641 -39.5 1613.226
6 4 1; 1035.641 -39.5 1613.226; 1144.162 -39.5 1537.239; 1240.291 -39.5 1674.526; 1131.771 -39.5 1750.513
6 5 1; 1131.771 -39.5 1750.513; 1240.291 -39.5 1674.526; 1336.421 -39.5 1811.813; 1227.9 -39.5 1887.8
6 6 1; 1227.9 -39.5 1887.8; 1336.421 -39.5 1811.813; 1432.55 -39.5 1949.1; 1324.029 -39.5 2025.087
6 7 1; 1324.029 -39.5 2025.087; 1432.55 -39.5 1949.1; 1528.679 -39.5 2086.387; 1420.159 -39.5 2162.374
6 8 1; 1420.159 -39.5 2162.374; 1528.679 -39.5 2086.387; 1624.809 -39.5 2223.674; 1516.288 -39.5 2299.661
6 9 1; 1516.288 -39.5 2299.661; 1624.809 -39.5 2223.674; 1720.938 -39.5 2360.961; 1612.417 -39.5 2436.948
6 10 1; 1612.417 -39.5 2436.948; 1720.938 -39.5 2360.961; 1817.068 -39.5 2498.248; 1708.547 -39.5 2574.235
6 11 1; 1708.547 -39.5 2574.235; 1817.068 -39.5 2498.248; 1913.197 -39.5 2635.535; 1804.676 -39.5 2711.522
6 12 1; 1804.676 -39.5 2711.522; 1913.197 -39.5 2635.535; 2009.326 -39.5 2772.822; 1900.806 -39.5 2848.809
6 13 1; 1900.806 -39.5 2848.809; 2009.326 -39.5 2772.822; 2105.456 -39.5 2910.109; 1996.935 -39.5 2986.096
6 14 1; 1996.935 -39.5 2986.096; 2105.456 -39.5 2910.109; 2201.585 -39.5 3047.396; 2093.064 -39.5 3123.383
6 15 1; 2093.064 -39.5 3123.383; 2201.585 -39.5 3047.396; 2297.714 -39.5 3184.683; 2189.194 -39.5 3260.67
6 16 1; 2189.194 -39.5 3260.67; 2297.714 -39.5 3184.683; 2393.844 -39.5 3321.97; 2285.323 -39.5 3397.957
6 17 1; 2285.323 -39.5 3397.957; 2393.844 -39.5 3321.97; 2489.973 -39.5 3459.257; 2381.452 -39.5 3535.244
6 18 1; 2381.452 -39.5 3535.244; 2489.973 -39.5 3459.257; 2586.102 -39.5 3596.543; 2477.582 -39.5 3672.531
6 19 1; 2477.582 -39.5 3672.531; 2586.102 -39.5 3596.543; 2682.232 -39.5 3733.831; 2573.711 -39.5 3809.818
7 0 1; 759.6444 -39.5 988.0912; 868.165 -39.5 912.1043; 964.2944 -39.5 1049.391; 855.7738 -39.5 1125.378
7 1 1; 855.7738 -39.5 1125.378; 964.2944 -39.5 1049.391; 1060.424 -39.5 1186.678; 951.9031 -39.5 1262.665
7 2 1; 951.9031 -39.5 1262.665; 1060.424 -39.5 1186.678; 1156.553 -39.5 1323.965; 1048.032 -39.5 1399.952
7 3 1; 1048.032 -39.5 1399.952; 1156.553 -39.5 1323.965; 1252.682 -39.5 1461.252; 1144.162 -39.5 1537.239
7 4 1; 1144.162 -39.5 1537.239; 1252.682 -39.5 1461.252; 1348.812 -39.5 1598.539; 1240.291 -39.5 1674.526
7 5 1; 1240.291 -39.5 1674.526; 1348.812 -39.5 1598.539; 1444.941 -39.5 1735.826; 1336.421 -39.5 1811.813
7 6 1; 1336.421 -39.5 1811.813; 1444.941 -39.5 1735.826; 1541.071 -39.5 1873.113; 1432.55 -39.5 1949.1
7 7 1; 1432.55 -39.5 1949.1; 1541.071 -39.5 1873.113; 1637.2 -39.5 2010.4; 1528.679 -39.5 2086.387
7 8 1; 1528.679 -39.5 2086.387; 1637.2 -39.5 2010.4; 1733.329 -39.5 2147.687; 1624.809 -39.5 2223.674
7 9 1; 1624.809 -39.5 2223.674; 1733.329 -39.5 2147.687; 1829.459 -39.5 2284.974; 1720.938 -39.5 2360.961
7 10 1; 1720.938 -39.5 2360.961; 1829.459 -39.5 2284.974; 1925.588 -39.5 2422.261; 1817.068 -39.5 2498.248
7 11 1; 1817.068 -39.5 2498.248; 1925.588 -39.5 2422.261; 2021.718 -39.5 2559.548; 1913.197 -39.5 2635.535
7 12 1; 1913.197 -39.5 2635.535; 2021.718 -39.5 2559.548; 2117.847 -39.5 2696.835; 2009.326 -39.5 2772.822
7 13 1; 2009.326 -39.5 2772.822; 2117.847 -39.5 2696.835; 2213.976 -39.5 2834.122; 2105.456 -39.5 2910.109
7 14 1; 2105.456 -39.5 2910.109; 2213.976 -39.5 2834.122; 2310.105 -39.5 2971.409; 2201.585 -39.5 3047.396
7 15 1; 2201.585 -39.5 3047.396; 2310.105 -39.5 2971.409; 2406.235 -39.5 3108.696; 2297.714 -39.5 3184.683
7 16 1; 2297.714 -39.5 3184.683; 2406.235 -39.5 3108.696; 2502.364 -39.5 3245.983; 2393.844 -39.5 3321.97
7 17 1; 2393.844 -39.5 3321.97; 2502.364 -39.5 3245.983; 2598.494 -39.5 3383.27; 2489.973 -39.5 3459.257
7 18 1; 2489.973 -39.5 3459.257; 2598.494 -39.5 3383.27; 2694.623 -39.5 3520.557; 2586.102 -39.5 3596.543
7 19 1; 2586.102 -39.5 3596.543; 2694.623 -39.5 3520.557; 2790.752 -39.5 3657.844; 2682.232 -39.5 3733.831
8 0 1; 868.165 -39.5 912.1043; 976.6857 -39.5 836.1173; 1072.815 -39.5 973.4043; 964.2944 -39.5 1049.391
8 1 1; 964.2944 -39.5 1049.391; 1072.815 -39.5 973.4043; 1168.944 -39.5 1110.691; 1060.424 -39.5 1186.678
8 2 1; 1060.424 -39.5 1186.678; 1168.944 -39.5 1110.691; 1265.074 -39.5 1247.978; 1156.553 -39.5 1323.965
8 3 1; 1156.553 -39.5 1323.965; 1265.074 -39.5 1247.978; 1361.203 -39.5 1385.265; 1252.682 -39.5 1461.252
8 4 1; 1252.682 -39.5 1461.252; 1361.203 -39.5 1385.265; 1457.333 -39.5 1522.552; 1348.812 -39.5 1598.539
8 5 1; 1348.812 -39.5 1598.539; 1457.333 -39.5 1522.552; 1553.462 -39.5 1659.839; 1444.941 -39.5 1735.826
8 6 1; 1444.941 -39.5 1735.826; 1553.462 -39.5 1659.839; 1649.591 -39.5 1797.126; 1541.071 -39.5 1873.113
8 7 1; 1541.071 -39.5 1873.113; 1649.591 -39.5 1797.126; 1745.721 -39.5 1934.413; 1637.2 -39.5 2010.4
8 8 1; 1637.2 -39.5 2010.4; 1745.721 -39.5 1934.413; 1841.85 -39.5 2071.7; 1733.329 -39.5 2147.687
8 9 1; 1733.329 -39.5 2147.687; 1841.85 -39.5 2071.7; 1937.979 -39.5 2208.987; 1829.459 -39.5 2284.974
8 10 1; 1829.459 -39.5 2284.974; 1937.979 -39.5 2208.987; 2034.109 -39.5 2346.274; 1925.588 -39.5 2422.261
8 11 1; 1925.588 -39.5 2422.261; 2034.109 -39.5 2346.274; 2130.238 -39.5 2483.561; 2021.718 -39.5 2559.548
8 12 1; 2021.718 -39.5 2559.548; 2130.238 -39.5 2483.561; 2226.367 -39.5 2620.848; 2117.847 -39.5 2696.835
8 13 1; 2117.847 -39.5 2696.835; 2226.367 -39.5 2620.848; 2322.497 -39.5 2758.135; 2213.976 -39.5 2834.122
8 14 1; 2213.976 -39.5 2834.122; 2322.497 -39.5 2758.135; 2418.626 -39.5 2895.422; 2310.105 -39.5 2971.409
8 15 1; 2310.105 -39.5 2971.409; 2418.626 -39.5 2895.422; 2514.756 -39.5 3032.709; 2406.235 -39.5 3108.696
8 16 1; 2406.235 -39.5 3108.696; 2514.756 -39.5 3032.709; 2610.885 -39.5 3169.996; 2502.364 -39.5 3245.983
8 17 1; 2502.364 -39.5 3245.983; 2610.885 -39.5 3169.996; 2707.014 -39.5 3307.283; 2598.494 -39.5 3383.27
8 18 1; 2598.494 -39.5 3383.27; 2707.014 -39.5 3307.283; 2803.144 -39.5 3444.57; 2694.623 -39.5 3520.557
8 19 1; 2694.623 -39.5 3520.557; 2803.144 -39.5 3444.57; 2899.273 -39.5 3581.857; 2790.752 -39.5 3657.844
9 0 1; 976.6857 -39.5 836.1173; 1085.206 -39.5 760.1304; 1181.336 -39.5 897.4173; 1072.815 -39.5 973.4043
9 1 1; 1072.815 -39.5 973.4043; 1181.336 -39.5 897.4173; 1277.465 -39.5 1034.704; 1168.944 -39.5 1110.691
9 2 1; 1168.944 -39.5 1110.691; 1277.465 -39.5 1034.704; 1373.594 -39.5 1171.991; 1265.074 -39.5 1247.978
9 3 1; 1265.074 -39.5 1247.978; 1373.594 -39.5 1171.991; 1469.724 -39.5 1309.278; 1361.203 -39.5 1385.265
9 4 1; 1361.203 -39.5 1385.265; 1469.724 -39.5 1309.278; 1565.853 -39.5 1446.565; 1457.333 -39.5 1522.552
9 5 1; 1457.333 -39.5 1522.552; 1565.853 -39.5 1446.565; 1661.983 -39.5 1583.852; 1553.462 -39.5 1659.839
9 6 1; 1553.462 -39.5 1659.839; 1661.983 -39.5 1583.852; 1758.112 -39.5 1721.139; 1649.591 -39.5 1797.126
9 7 1; 1649.591 -39.5 1797.126; 1758.112 -39.5 1721.139; 1854.241 -39.5 1858.426; 1745.721 -39.5 1934.413
9 8 1; 1745.721 -39.5 1934.413; 1854.241 -39.5 1858.426; 1950.371 -39.5 1995.713; 1841.85 -39.5 2071.7
9 9 1; 1841.85 -39.5 2071.7; 1950.371 -39.5 1995.713; 2046.5 -39.5 2133; 1937.979 -39.5 2208.987
9 10 1; 1937.979 -39.5 2208.987; 2046.5 -39.5 2133; 2142.629 -39.5 2270.287; 2034.109 -39.5 2346.274
9 11 1; 2034.109 -39.5 2346.274; 2142.629 -39.5 2270.287; 2238.759 -39.5 2407.574; 2130.238 -39.5 2483.561
9 12 1; 2130.238 -39.5 2483.561; 2238.759 -39.5 2407.574; 2334.888 -39.5 2544.861; 2226.367 -39.5 2620.848
9 13 1; 2226.367 -39.5 2620.848; 2334.888 -39.5 2544.861; 2431.018 -39.5 2682.148; 2322.497 -39.5 2758.135
9 14 1; 2322.497 -39.5 2758.135; 2431.018 -39.5 2682.148; 2527.147 -39.5 2819.435; 2418.626 -39.5 2895.422
9 15 1; 2418.626 -39.5 2895.422; 2527.147 -39.5 2819.435; 2623.276 -39.5 2956.722; 2514.756 -39.5 3032.709
9 16 1; 2514.756 -39.5 3032.709; 2623.276 -39.5 2956.722; 2719.406 -39.5 3094.009; 2610.885 -39.5 3169.996
9 17 1; 2610.885 -39.5 3169.996; 2719.406 -39.5 3094.009; 2815.535 -39.5 3231.296; 2707.014 -39.5 3307.283
9 18 1; 2707.014 -39.5 3307.283; 2815.535 -39.5 3231.296; 2911.664 -39.5 3368.583; 2803.144 -39.5 3444.57
9 19 1; 2803.144 -39.5 3444.57; 2911.664 -39.5 3368.583; 3007.794 -39.5 3505.87; 2899.273 -39.5 3581.857
