20 20
9 0 1; 107950 2342.817 -704200; 115450 2338.272 -704200; 115450 2319.864 -699200; 107950 2322.764 -699200
9 1 1; 107950 2322.764 -699200; 115450 2319.864 -699200; 115450 2295.022 -694200; 107950 2302.626 -694200
9 2 1; 107950 2302.626 -694200; 115450 2295.022 -694200; 115450 2271.497 -689200; 107950 2277.863 -689200
9 3 1; 107950 2277.863 -689200; 115450 2271.497 -689200; 115450 2246.558 -684200; 107950 2250.641 -684200
9 4 1; 107950 2250.641 -684200; 115450 2246.558 -684200; 115450 2217.685 -679200; 107950 2223.985 -679200
9 5 1; 107950 2223.985 -679200; 115450 2217.685 -679200; 115450 2176.082 -674200; 107950 2186.341 -674200
9 6 1; 107950 2186.341 -674200; 115450 2176.082 -674200; 115450 2150.481 -669200; 107950 2155.414 -669200
9 7 1; 107950 2155.414 -669200; 115450 2150.481 -669200; 115450 2145 -664200; 107950 2147.354 -664200
9 8 1; 107950 2147.354 -664200; 115450 2145 -664200; 115450 2133.308 -659200; 107950 2137.581 -659200
9 9 1; 107950 2137.581 -659200; 115450 2133.308 -659200; 115450 2098.685 -654200; 107950 2126.229 -654200
9 10 1; 107950 2126.229 -654200; 115450 2098.685 -654200; 115450 2033.327 -649200; 107950 2112.737 -649200
9 11 1; 107950 2112.737 -649200; 115450 2033.327 -649200; 115450 2015.984 -644200; 107950 2085.549 -644200
9 12 1; 107950 2085.549 -644200; 115450 2015.984 -644200; 115450 2015.351 -639200; 107950 2093.678 -639200
9 13 1; 107950 2093.678 -639200; 115450 2015.351 -639200; 115450 2031.844 -634200; 107950 2111.408 -634200
9 14 1; 107950 2111.408 -634200; 115450 2031.844 -634200; 115450 2110.63 -629200; 107950 2120.801 -629200
9 15 1; 107950 2120.801 -629200; 115450 2110.63 -629200; 115450 2126.014 -624200; 107950 2130.969 -624200
9 16 1; 107950 2130.969 -624200; 115450 2126.014 -624200; 115450 2141.993 -619200; 107950 2146.567 -619200
9 17 1; 107950 2146.567 -619200; 115450 2141.993 -619200; 115450 2157.698 -614200; 107950 2163.453 -614200
9 18 1; 107950 2163.453 -614200; 115450 2157.698 -614200; 115450 2226.391 -609200; 107950 2229.35 -609200
9 19 1; 107950 2229.35 -609200; 115450 2226.391 -609200; 115450 2325.438 -604200; 107950 2327.15 -604200
10 0 1; 115450 2453.41 -704200; 122950 2460.081 -704200; 122950 2425.253 -699200; 115450 2438.699 -699200
10 1 1; 115450 2438.699 -699200; 122950 2425.253 -699200; 122950 2403.678 -694200; 115450 2420.08 -694200
10 2 1; 115450 2295.022 -694200; 122950 2293.471 -694200; 122950 2268.961 -689200; 115450 2271.497 -689200
10 3 1; 115450 2271.497 -689200; 122950 2268.961 -689200; 122950 2245.094 -684200; 115450 2246.558 -684200
10 4 1; 115450 2246.558 -684200; 122950 2245.094 -684200; 122950 2216.558 -679200; 115450 2217.685 -679200
10 5 1; 115450 2217.685 -679200; 122950 2216.558 -679200; 122950 2174.895 -674200; 115450 2176.082 -674200
10 6 1; 115450 2176.082 -674200; 122950 2174.895 -674200; 122950 2150.228 -669200; 115450 2150.481 -669200
10 7 1; 115450 2150.481 -669200; 122950 2150.228 -669200; 122950 2144.913 -664200; 115450 2145 -664200
10 8 1; 115450 2145 -664200; 122950 2144.913 -664200; 122950 2132.808 -659200; 115450 2133.308 -659200
10 9 1; 115450 2133.308 -659200; 122950 2132.808 -659200; 122950 2104.464 -654200; 115450 2098.685 -654200
10 10 1; 115450 2098.685 -654200; 122950 2104.464 -654200; 122950 2030.195 -649200; 115450 2033.327 -649200
10 11 0; 115450 2033.327 -649200; 122950 2030.195 -649200; 122950 2001.928 -644200; 115450 2015.984 -644200
10 12 0; 115450 2015.984 -644200; 122950 2001.928 -644200; 122950 2000.098 -639200; 115450 2015.351 -639200
10 13 0; 115450 2015.351 -639200; 122950 2000.098 -639200; 122950 2023.613 -634200; 115450 2031.844 -634200
10 14 1; 115450 2031.844 -634200; 122950 2023.613 -634200; 122950 2110.976 -629200; 115450 2110.63 -629200
10 15 1; 115450 2110.63 -629200; 122950 2110.976 -629200; 122950 2125.623 -624200; 115450 2126.014 -624200
10 16 1; 115450 2126.014 -624200; 122950 2125.623 -624200; 122950 2140.626 -619200; 115450 2141.993 -619200
10 17 1; 115450 2141.993 -619200; 122950 2140.626 -619200; 122950 2157.208 -614200; 115450 2157.698 -614200
10 18 1; 115450 2157.698 -614200; 122950 2157.208 -614200; 122950 2226.465 -609200; 115450 2226.391 -609200
10 19 1; 115450 2226.391 -609200; 122950 2226.465 -609200; 122950 2285.738 -604200; 115450 2325.438 -604200
11 0 1; 122950 2460.081 -704200; 130450 2467.548 -704200; 130450 2433.693 -699200; 122950 2425.253 -699200
11 1 1; 122950 2425.253 -699200; 130450 2433.693 -699200; 130450 2401.25 -694200; 122950 2403.678 -694200
11 2 1; 122950 2403.678 -694200; 130450 2401.25 -694200; 130450 2379.329 -689200; 122950 2389.587 -689200
11 3 1; 122950 2268.961 -689200; 130450 2265.982 -689200; 130450 2244.772 -684200; 122950 2245.094 -684200
11 4 1; 122950 2245.094 -684200; 130450 2244.772 -684200; 130450 2215.707 -679200; 122950 2216.558 -679200
